1 1.000000 1.000000 2.000000 1.000000
2 1.000000 2.000000 4.000000 2.000000
3 1.000000 3.000000 8.000000 6.000000
4 1.000000 4.000000 16.000000 24.000000
5 1.000000 5.000000 32.000000 120.000000
6 1.000000 6.000000 64.000000 720.000000
7 1.000000 7.000000 128.000000 5040.000000
8 1.000000 8.000000 256.000000 40320.000000
9 1.000000 9.000000 512.000000 362880.000000
10 1.000000 10.000000 1024.000000 3628800.000000
11 1.000000 11.000000 2048.000000 39916800.000000
12 1.000000 12.000000 4096.000000 479001600.000000
13 1.000000 13.000000 8192.000000 6227020800.000000
14 1.000000 14.000000 16384.000000 87178291200.000000
